person.name,movie.title
Lilly Wachowski,Speed Racer
Lana Wachowski,V for Vendetta
Jim Cash,Top Gun
David Mitchell,Cloud Atlas
Lilly Wachowski,V for Vendetta
Aaron Sorkin,A Few Good Men
Cameron Crowe,Jerry Maguire
Nancy Meyers,Something's Gotta Give
Lana Wachowski,Speed Racer
Nora Ephron,When Harry Met Sally
